ordno,itcode,itunit,itqty,itrte,itamnt,bcamnt,itemdesc,ordte,ccode,refno,clsup,tramnt,name
170091,CONICWDFLATAP10,NOS  ,40.0,17.483,699.32,699.32,"10"" CONICAL FLANGE TAP WITH DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170091,CONICNDFLATAP06,NOS  ,2.0,8.085,16.17,16.17,"6"" CONICAL FLANGE TAP W/O DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170091,CONICNDFLATAP08,NOS  ,3.0,9.1133,27.34,27.34,"8"" CONICAL FLANGE TAP W/O DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170091,CONICNDFLATAP10,NOS  ,12.0,10.7866,129.439,129.44,"10"" CONICAL FLANGE TAP W/O DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170091,CONICNDFLATAP12,NOS  ,13.0,13.2976,172.86900000000003,172.87,"12"" CONICAL FLANGE TAP W/O DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170091,CONICNDFLATAP14,NOS  ,10.0,16.13,161.3,161.3,"14"" CONICAL FLANGE TAP W/O DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170091,CONICNDFLATAP16,NOS  ,3.0,18.39,55.17,55.17,"16"" CONICAL FLANGE TAP W/O DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170092,GICOIL00000030 ,LBS  ,20000.0,0.47,9400.0,9400.0,GI COIL 30 GAGE,2017-03-13,01 ,                                                                                                                                                      ,CR00112,9400.0,
170093,INSUL000011235 ,ROLL ,80.0,82.55,6604.0,6604.0,"INSULATION 1 ½"" X35½""",2017-03-13,01 ,                                                                                                                                                      ,CR00136,34244.8,"CR Solar Supply, Inc                                        "
170093,INSUL000011247 ,ROLL ,100.0,110.46,11046.0,11046.0,"INSULATION 1½""X47½""",2017-03-13,01 ,                                                                                                                                                      ,CR00136,34244.8,"CR Solar Supply, Inc                                        "
170093,INSUL000011259 ,ROLL ,60.0,276.58,16594.8,16594.8,"INSULATION 1½""X59½""",2017-03-13,01 ,                                                                                                                                                      ,CR00136,34244.8,"CR Solar Supply, Inc                                        "
170094,STICKYPIN26070 ,BOX  ,10.0,20.0,200.0,200.0,Duro  Dyne Sticky pins SAH200,2017-03-13,02 ,                                                                                                                                                      ,CR00050,2577.573,CR Coastal HVAC Supply ( Vendor )                           
170094,GASKET00000001 ,BOX  ,6.0,48.5,291.0,291.0,Gasket,2017-03-13,02 ,                                                                                                                                                      ,CR00050,2577.573,CR Coastal HVAC Supply ( Vendor )                           
170103,RIVET000000002 ,NOS  ,500000.0,0.003,1480.0,1480.0,SELF PIERCING RIVET 1/8X5/32X7/32,2017-03-17,01 ,                                                                                                                                                      ,CR00073,2175.0,CR Hanson Rivet & Supply Co.                                
170094,CANVASCONNECTN ,BOX  ,4.0,104.44,417.76,417.76,CANVAS CONNECTIONS DMVL 333,2017-03-13,02 ,                                                                                                                                                      ,CR00050,2577.573,CR Coastal HVAC Supply ( Vendor )                           
170094,LINERPIN0000034,BOX  ,5.0,161.675,808.375,808.38,"3/4"" LINER PINS",2017-03-13,02 ,                                                                                                                                                      ,CR00050,2577.573,CR Coastal HVAC Supply ( Vendor )                           
170094,LINERPIN000001 ,BOX  ,5.0,172.0875,860.438,860.44,Duro Dyne Liner Pins,2017-03-13,02 ,                                                                                                                                                      ,CR00050,2577.573,CR Coastal HVAC Supply ( Vendor )                           
170097,RAD640041810000,NOS  ,66.0,1.88,124.08,124.08,WIRE MIG ER70S- 6.030 11LB PLASTIC SPOOL COPPER,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640041800000,NOS  ,44.0,2.18,95.92,95.92,WIRE MIG ER70S-6 .023 11LB PLASTIC SPOOL,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,A10SM316LME0000,NOS  ,20.0,15.6,312.0,312.0,WIRE MIG A5.9 ER316L .030 10LB SPOOL STAINLESS STEEL,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170102,SILICONEALUMIN ,NOS  ,240.0,2.37,568.8,568.8,ALUMINIUM SILICONE,2017-03-17,02 ,                                                                                                                                                      ,CR00050,568.8,CR Coastal HVAC Supply ( Vendor )                           
170103,RIVET000000001 ,NOS  ,250000.0,0.0028,695.0,695.0,SEMI TUBULAR RIVET,2017-03-17,01 ,                                                                                                                                                      ,CR00073,2175.0,CR Hanson Rivet & Supply Co.                                
170095,1.5X1/8FLATBAR0,NOS  ,1.0,11.78,11.78,11.78,"1.5"" X 1/8 FLAT BAR",2017-03-14,02 ,                                                                                                                                                      ,CR00189,11.78,CR Rose Steel                                               
170096,JFLANGE0000001 ,FT   ,1500.0,0.6885,1032.69,1032.69,J FLANGE,2017-03-14,02 ,                                                                                                                                                      ,CR00050,1032.69,CR Coastal HVAC Supply ( Vendor )                           
170097,LINKP-2746-1000,NOS  ,12.0,8.96,107.52,107.52,DIFFUSER GAS 350A THREAD-ON,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,HYP220842000000,NOS  ,30.0,9.4,282.0,282.0,ELECTRODE POWERMAX SPRING,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640573240000,NOS  ,2.0,8.56,17.12,17.12,GLOVE LARGE PREMIUM GRADE GRAIN COWHIDE UNLINED,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640573250000,NOS  ,2.0,8.56,17.12,17.12,GLOVE EXTRA LARGE PREMIUM GRADE GRAIN COWHIDE UNLINED,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,HON113401430000,NOS  ,2.0,22.52,45.04,45.04,HEADGEAR FACESHIELD 8.5X15X.07 PROPIONATE VISOR CLEAR RATCHET,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640050120000,NOS  ,24.0,0.34,8.16,8.16,LENS SAFETY CLEAR 2X4.25 POLYCARBONATE,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,MILSA0081800000,NOS  ,4.0,10.52,42.08,42.08,FILTER P100 LPR-100 PAIR,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,MIL169716000000,NOS  ,10.0,10.09,100.9,100.9,ADAPTER CONTACT TIP M-10 15 2/PACK,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,MIL000067000000,NOS  ,40.0,1.66,66.4,66.4,TIP CONTACT SCR .030 WIRE X 1.125,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,MIL087299000000,NOS  ,40.0,1.13,45.2,45.2,TIP CONTACT SCR .023 WIRE X 1.125,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,MIL169715000000,NOS  ,10.0,15.75,157.5,157.5,NOZZLE MIG TYPE .500 SLIP ORIFICE FLUSH M-10 15,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640007030000,NOS  ,20.0,2.45,49.0,49.0,WHEEL GRINDING 4 1/2X1/4X7/8 27 A24R ALUMINUM OXIDE 13580,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640008060000,NOS  ,15.0,1.89,28.35,28.35,WHEEL CUT OFF 4 1/2X.040X7/8 1 A600 ALUMINUM OXIDE 13580,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640008630000,NOS  ,20.0,6.32,126.4,126.4,DISC FLAP 4 1/2X7/8 TYPE 29 60GR ZIRCONIA ALUMINA,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640050340000,NOS  ,24.0,0.83,19.92,19.92,LENS SAFETY CLEAR 4.5X5.25 POLYCARBONATE,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640007030000,NOS  ,15.0,2.45,36.75,36.75,WHEEL GRINDING 4 1/2X1/4X7/8 27 A24R ALUMINUM OXIDE 13580,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640041810000,NOS  ,11.0,1.88,20.68,20.68,WIRE MIG ER70S- 6.030 11LB PLASTIC SPOOL COPPER,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
170097,RAD640041800000,NOS  ,11.0,2.18,23.98,23.98,WIRE MIG ER70S-6 .023 11LB PLASTIC SPOOL,2017-03-15,   ,                                                                                                                                                      ,CR00019,1822.52,CR Airgas Safety                                            
