billtype_x,billno,itcode,itunit,itqty,itrte,itamnt,refno,billtype_y,billdate,ccode,clsup,slpucd,tramnt,refno_y,refdt,duedate,name,ortyp,ordte,OrderToPurchaseDays
PURC,200571,PRESSONTAPWD08 ,NOS  ,111.0,7.4,821.4,200424,PURC,2020-10-19,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,821.4,07883602                 ,2020-10-19,2020-11-18,CR Win Supply Of Houston                                    ,P,2020-10-14,5.0
PURC,200572,PRESSONTAPWD10 ,NOS  ,35.0,8.75,306.25,200424,PURC,2020-10-22,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,407.75,07883604                 ,2020-10-22,2020-12-21,CR Win Supply Of Houston                                    ,P,2020-10-14,8.0
PURC,200572,PRESSONTAPWD12 ,NOS  ,10.0,10.15,101.5,200424,PURC,2020-10-22,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,407.75,07883604                 ,2020-10-22,2020-12-21,CR Win Supply Of Houston                                    ,P,2020-10-14,8.0
PURC,200573,PRESSONTAPWD10 ,NOS  ,55.0,8.75,481.25,200424,PURC,2020-10-22,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1120.7,07883605                 ,2020-10-22,2020-12-21,CR Win Supply Of Houston                                    ,P,2020-10-14,8.0
PURC,200573,PRESSONTAPWD12 ,NOS  ,63.0,10.15,639.45,200424,PURC,2020-10-22,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1120.7,07883605                 ,2020-10-22,2020-12-21,CR Win Supply Of Houston                                    ,P,2020-10-14,8.0
PURC,200574,BLDUCTTAPE0398 ,NOS  ,10.0,98.88,988.8,200438,PURC,2020-10-22,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1804.04,07933001                 ,2020-10-22,2020-12-21,CR Win Supply Of Houston                                    ,P,2020-10-21,1.0
PURC,200574,STANDING00000S ,FEET ,1780.0,0.45799999999999996,815.24,200438,PURC,2020-10-22,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1804.04,07933001                 ,2020-10-22,2020-12-21,CR Win Supply Of Houston                                    ,P,2020-10-21,1.0
PURC,200575,FLEXDUCTR60006 ,NOS  ,15.0,22.16,332.4,200434,PURC,2020-10-20,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,1616.03,3642741                  ,2020-10-20,2020-11-19,"CR Solar Supply, Inc                                        ",P,2020-10-20,0.0
PURC,200575,FLEXDUCTR60008 ,NOS  ,31.0,26.45,819.95,200434,PURC,2020-10-20,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,1616.03,3642741                  ,2020-10-20,2020-11-19,"CR Solar Supply, Inc                                        ",P,2020-10-20,0.0
PURC,200575,FLEXDUCTR60010 ,NOS  ,14.0,33.12,463.68,200434,PURC,2020-10-20,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,1616.03,3642741                  ,2020-10-20,2020-11-19,"CR Solar Supply, Inc                                        ",P,2020-10-20,0.0
PURC,200576,FSKTAPE0000001 ,BOX  ,10.0,204.72656,2047.266,200431,PURC,2020-10-21,COMMERCIAL,CR00050,Purchase Duct - Commercial                                  ,2047.266,5628480                  ,2020-10-21,2020-11-20,CR Coastal HVAC Supply ( Vendor )                           ,P,2020-10-19,2.0
PURC,200577,SQUAREROD38COS ,FEET ,1068.0,0.82083,876.6460000000001,200433,PURC,2020-10-22,COMMERCIAL,CR00178,Purchase Duct - Commercial                                  ,876.6460000000001,0112389                  ,2020-10-22,2020-11-21,CR CL ALLOYS                                                ,P,2020-10-19,3.0
PURC,200578,GALVSHEET14510 ,SHEET,3.0,89.0,267.0,200435,PURC,2020-10-20,COMMERCIAL,CR00181,Purchase Duct - Commercial                                  ,267.0,939383                   ,2020-10-20,2020-10-20,CR Triple S Steel                                           ,P,2020-10-20,0.0
PURC,200579,GICOIL00000022 ,LBS  ,9870.0,0.44,4342.8,200400,PURC,2020-10-21,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,8527.2,112449                   ,2020-10-21,2020-12-05,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-09-25,26.0
PURC,200579,GICOIL00000022 ,LBS  ,9510.0,0.44,4184.4,200400,PURC,2020-10-21,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,8527.2,112449                   ,2020-10-21,2020-12-05,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-09-25,26.0
PURC,200580,GALVANELPG2260 ,LBS  ,5480.0,0.5325,2918.1,200426,PURC,2020-10-21,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,12206.05,112450                   ,2020-10-21,2020-12-05,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-10-15,6.0
